Search Keyword,Title,Abstract/Summary/Description,Organism,Sample Size,Cohort,GEO ID,ENA/SRA ID,Library Strategy,Library Source,Database,,Tissue ,source_name,tissue,cell_line,cell_type,,Schizophrenia,Bipolar disorder,Anxiety,Depression,Major Depressive Disorder,Bipolar Depression,Bipolar Mania,Comments,RNA-seq,Treatment,Notes (Treatment)
Schizophrenia,mRNA Sequencing of STG in schizophrenia,mRNA Sequencing of STG in schizophrenia,Homo sapiens,18,key:value_key:value,,ERP001304,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,clozapine and schizophrenia patient-derived neurons,"The cellular pathology of schizophrenia and the potential of antipsychotics to target the underlying neuronal dysfunctions are still largely unknown. We employed glutamatergic neurons derived from induced pluripotent stem cells obtained from schizophrenia patients with a known history of response to clozapine and healthy controls to decipher the mechanisms of action of clozapine, spanning from molecular (transcriptome profiling) and cellular levels (electrophysiology) to observed clinical effects in living patients.",Homo sapiens,11,,,ERP134591,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,,,,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,clozapine
Major Depressive Disorder,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,46,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,No,No,No,No,Yes,No,No,17 MDD/D + 29 control,RNA-seq,No,
Depression,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,46,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,No,No,No,Yes,No,No,No,17 MDD/D + 29 control,RNA-seq,No,
Schizophrenia,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,45,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,Yes,No,No,No,No,No,No,16 S +29 control,RNA-seq,No,
Bipolar Disorder,Whole transcriptome analysis of postmortem human hippocampus dentate gyrus granlule cells,"(Submitter supplied) We investigated the transcriptome of dentate gyrus (DG) granule cells in postmortem hippocampus from 79 subjects with mental illness (schizophrenia, bipolar disorder, major depression) or non-psychiatric controls.",Homo sapiens,45,,GSE42546,SRP017329,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem hippocampus DG granule cells,,,,,No,Yes,No,No,No,No,No,16 BD +29 control,RNA-seq,No,
Schizophrenia,RNA-seq in neurons derived from iPSCs in controls and patients with schizophrenia and 22q11 del,"(Submitter supplied) Individuals with 22q11.2 Deletion Syndrome (22q11.2 DS) are a specific high-risk group for developing schizophrenia (SZ), schizoaffective disorder (SAD) and autism spectrum disorders (ASD). Several genes in the deleted region have been implicated in the development of SZ, e.g., PRODH and DGCR8. However, the mechanistic connection between these genes and the neuropsychiatric phenotype remains unclear. more...",Homo sapiens,19,,GSE46562,SRP022028,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,control neurons|neuron cell line|schizohrenia neurons,14 day neurons|iPSC-derived neuron,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,"RNA-sequencing of the brain transcriptome implicates dysregulation of neuroplasticity, circadian rhythms, and GTPase binding in bipolar disorder","(Submitter supplied) See ""Akula et al., Molecular Psychiatry in Press"". RNA-sequencing (RNA-seq) is a powerful technique to investigate the complexity of gene expression in the human brain. We used RNA-seq to survey the brain transcriptome in high-quality post-mortem dorsolateral prefrontal cortex from 11 individuals diagnosed with bipolar disorder (BD) and from 11 age- and gender-matched controls. Deep sequencing was performed, with over 350 million reads per specimen. more...",Homo sapiens,22,,GSE53239,SRP033725,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,postmortem brain,dorsolateral prefrontal cortex,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,"Homo sapiens, brain disease Epigenomics",The DNA methylome and transcriptome of different brain regions in schizophrenia and bipolar disorder,Homo sapiens,36,,,SRP035524,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,,,,,Yes,Yes,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Hyper-excitability of Neurons generated from Patients with Bipolar Disorder,"(Submitter supplied) Bipolar Disorder (BD) is a complex neuropsychiatric disorder that is characterized by intermittent episodes of mania and depression and, without treatment, 15% of patients commit suicide1. Hence, among all diseases, BD has been ranked by the WHO as a top disorder of morbidity and lost productivity2. Previous neuropathological studies have revealed a series of alterations in the brains of BD patients or animal models3, such as reduced glial cell number in the patient prefrontal cortex4, up-regulated activities of the PKA/PKC pathways5-7, and changes in dopamine/5-HT/glutamate neurotransmission systems8-11. more...",Homo sapiens,18,,GSE58933,SRP043684,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iPSC-derived hippocampal dentate gyrus granule neurons|iPSC-derived neurons,,,Hippocampal dentate gyrus (DG) granule neurons|iPSC-derived neurons,,No,Yes,No,No,No,No,No,Hyper-excitability of Neurons generated from Patients with Bipolar Disorder,RNA-seq,Yes,Lithium 
Schizophrenia,Next Generation Sequencing Facilitates Comparisons of Control and Schizophrenia-Patient derived hiPSC-derived neurons,"(Submitter supplied) Cell-based models of many neurological and psychiatric diseases, established by reprogramming patient somatic cells into human induced pluripotent stem cells (hiPSCs), have now been reported. While numerous reports have demonstrated that neuronal cells differentiated from hiPSCs are electrophysiologically active mature neurons, the “age” of these cells relative to cells in the human brain remains unresolved. more...",Homo sapiens,11,,GSE63734,SRP050376,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,hiPSC forebrain Neurons,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Next Generation Sequencing Facilitates Comparisons of Control and Schizophrenia-Patient derived hiPSC-derived NPCs,"(Submitter supplied) Cell-based models of many neurological and psychiatric diseases, established by reprogramming patient somatic cells into human induced pluripotent stem cells (hiPSCs), have now been reported. While numerous reports have demonstrated that neuronal cells differentiated from hiPSCs are electrophysiologically active mature neurons, the “age” of these cells relative to cells in the human brain remains unresolved. more...",Homo sapiens,12,,GSE63738,SRP050377,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,hiPSC forebrain NPCs,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Reduced CYFIP1 in human neural progenitors as 15q11.2 deletion model: donor specific dysregulation of schizophrenia/epilepsy genes,"(Submitter supplied) Deletions at 15q11.2 have been established to increase risk for multiple neurodevelopmental disorders (NDDs) including schizophrenia and epilepsy, yet show variable expressivity between individuals. To investigate the potential role of CYFIP1, a gene within the locus, we carried out knockdown experiments in human neural progenitor cells derived from 15q11.2 neutral induced pluripotent stem cells. Transcriptional profiling and cellular assays support a prominent role for CYFIP1 in cytoskeletal remodeling across all lines examined. more...",Homo sapiens,18,,GSE70935,SRP061192,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Neural progenitor cells derived from induced pluripotent stem cells,,553.C2|690.C5|iPS5.C4,NPCs derived from iPSCs,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Transcriptome profiling of human neural progenitor cells and neurons with DISC1 interruption,"(Submitter supplied) Purpose: Genetic and clinical association studies have identified disrupted-in-schizophrenia 1 (DISC1) as a candidate risk gene for major mental illness. DISC1 is interrupted by a balanced chr(1;11) translocation in a Scottish family, in which the translocation predisposes to psychiatric disorders. We investigate the consequences of DISC1 interruption in human neural cells using TALENs or CRISPR-Cas9 to target the DISC1 locus. more...",Homo sapiens,42,,GSE71289,SRP061682,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Neural progenitor cells|Neurons,,,Human iPSC-derived neural progenitor cells|Human iPSC-derived neurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Systematically characterizing dysfunctional long intergenic non-coding RNAs in multiple brain regions of major psychosis,"(Submitter supplied) Schizophrenia (SZ) and bipolar disorder (BD) are severe neuropsychiatric disorders with serious impact on patients, together termed “major psychosis”. Recently, long intergenic non-coding RNAs (lincRNAs) were reported to play important roles in mental diseases. However, little was known about their molecular mechanism in pathogenesis of SZ and BD. Here, we performed RNA sequencing on 82 post-mortem brain tissues from three brain regions (orbitofrontal cortex (BA11), anterior cingulate cortex (BA24) and dorsolateral prefrontal cortex (BA9)) of patients with SZ and BD and control subjects, generating over one billion reads. more...",Homo sapiens,54,,GSE78936,SRP071203,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Brain,brain,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Systematically characterizing dysfunctional long intergenic non-coding RNAs in multiple brain regions of major psychosis,"(Submitter supplied) Schizophrenia (SZ) and bipolar disorder (BD) are severe neuropsychiatric disorders with serious impact on patients, together termed “major psychosis”. Recently, long intergenic non-coding RNAs (lincRNAs) were reported to play important roles in mental diseases. However, little was known about their molecular mechanism in pathogenesis of SZ and BD. Here, we performed RNA sequencing on 82 post-mortem brain tissues from three brain regions (orbitofrontal cortex (BA11), anterior cingulate cortex (BA24) and dorsolateral prefrontal cortex (BA9)) of patients with SZ and BD and control subjects, generating over one billion reads. more...",Homo sapiens,52,,GSE78936,SRP071203,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Brain,brain,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Next Generation Sequencing Compares Effects of microRNA-9 perturbation in control and SZ hiPSC NPCs,"(Submitter supplied) To follow-up findings that miR-9 was abundantly expressed in control NPCs, significantly down-regulated in a subset of SZ NPCs, and that miR-9 levels/activity, neural migration and diagnosis were strongly correlated, we tested the effect of manipulating miR-9 at cellular, proteomic and transcriptomic levels. Unexpectedly, proteomic- and RNAseq-based analysis revealed that these effects were mediated primarily by small changes in expression of indirect miR-9 targets, rather than large changes in direct miR-9 targets; these indirect targets are enriched for migration-associated genes. more...",Homo sapiens,16,,GSE80170,SRP073163,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,SZ_hiPSC forebrain NPCs|control_hiPSC forebrain NPCs,,,forebrain neural progenitor cells (NPCs),,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Transcriptome profiling of the human dorsal striatum in bipolar disorder,"(Submitter supplied) Bipolar disorder (BD) is a highly heritable and heterogeneous mental illness whose manifestations often include impulsive and risk-taking behavior. This particular phenotype suggests that abnormal striatal function could be involved in BD etiology, yet most transcriptomic studies of this disorder have concentrated on cortical brain regions. We report the first transcriptome profiling by RNA-Seq of the human dorsal striatum comparing bipolar and control subjects. more...",Homo sapiens,36,,GSE80336,SRP073382,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,"dorsal striatum, bipolar|dorsal striatum, control",,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,RNA-sequencing of human post-mortem brain tissues,(Submitter supplied) RNA-seq profiling was conducted on clinically-annotated human post-mortem brain tissues,Homo sapiens,71,,GSE80655,SRP073813,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,AnCg_Bipolar Disorder|AnCg_Control|AnCg_Major Depression|AnCg_Schizophrenia|DLPFC_Bipolar Disorder|DLPFC_Control|DLPFC_Major Depression|DLPFC_Schizophrenia|nAcc_Bipolar Disorder|nAcc_Control|nAcc_Major Depression|nAcc_Schizophrenia,brain,,,,Yes,No,No,No,No,No,No,"Publication: We performed RNA sequencing on tissue from the anterior cingulate cortex, dorsolateral prefrontal cortex, and nucleus accumbens from three groups of 24 patients each diagnosed with schizophrenia, bipolar disorder, or major depressive disorder, and from 24 control subjects
MDD (n=69),  BD (n=71), S (n= 71), control (n=70)",RNA-seq,No,
Bipolar Disorder,RNA-sequencing of human post-mortem brain tissues,(Submitter supplied) RNA-seq profiling was conducted on clinically-annotated human post-mortem brain tissues,Homo sapiens,71,,GSE80655,SRP073813,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,AnCg_Bipolar Disorder|AnCg_Control|AnCg_Major Depression|AnCg_Schizophrenia|DLPFC_Bipolar Disorder|DLPFC_Control|DLPFC_Major Depression|DLPFC_Schizophrenia|nAcc_Bipolar Disorder|nAcc_Control|nAcc_Major Depression|nAcc_Schizophrenia,brain,,,,No,No,No,No,No,Yes,No,"Publication: We performed RNA sequencing on tissue from the anterior cingulate cortex, dorsolateral prefrontal cortex, and nucleus accumbens from three groups of 24 patients each diagnosed with schizophrenia, bipolar disorder, or major depressive disorder, and from 24 control subjects
MDD (n=69),  BD (n=71), S (n= 71), control (n=70)",RNA-seq,No,
Major Depressive Disorder,RNA-sequencing of human post-mortem brain tissues,(Submitter supplied) RNA-seq profiling was conducted on clinically-annotated human post-mortem brain tissues,Homo sapiens,69,,GSE80655,SRP073813,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,AnCg_Bipolar Disorder|AnCg_Control|AnCg_Major Depression|AnCg_Schizophrenia|DLPFC_Bipolar Disorder|DLPFC_Control|DLPFC_Major Depression|DLPFC_Schizophrenia|nAcc_Bipolar Disorder|nAcc_Control|nAcc_Major Depression|nAcc_Schizophrenia,brain,,,,No,No,No,No,Yes,No,No,"Publication: We performed RNA sequencing on tissue from the anterior cingulate cortex, dorsolateral prefrontal cortex, and nucleus accumbens from three groups of 24 patients each diagnosed with schizophrenia, bipolar disorder, or major depressive disorder, and from 24 control subjects
MDD (n=69),  BD (n=71), S (n= 71), control (n=70)",RNA-seq,No,
Bipolar Disorder,Total RNAseq of human putamen and caudate nucleus tissues in healthy control and Bipolar Disorder individuals,"(Submitter supplied) A multitude of genes have been associated with bipolar disorder via SNP genotyping studies. However, many of these associated SNPs are found within intronic or intergenic regions of the human genome. We were interested in studying transcriptional profiles/splice variation of genes associated with bipolar disorder within the human striatum. Understanding how these associated genes are transcribed in the human brain may help to guide the development of therapeutic agents for the treatment of bipolar disorder and other neuropsychiatric illnesses.",Homo sapiens,16,,GSE81396,SRP074904,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,BD_c_nucleus|BD_putamen|HC_c_nucleus|HC_putamen,Brain,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Human iPSC glial mouse chimeras reveal glial contributions to schizophrenia,"(Submitter supplied) Genetic studies have suggested a role for glial pathology in the genesis of schizophrenia (SCZ). To assess the nature of SCZ-associated human glial dysfunction in vivo, we established human glial chimeric mice using glial progenitor cells (GPCs) produced from induced pluripotential cells (hiPSCs), derived from patients with juvenile-onset schizophrenia or healthy controls. To this end, hiPSC GPCs were implanted neonatally into either immunodeficient myelin wild-type mice, in which donor GPCs remained as progenitors or became astrocytes, or into myelin-deficient shiverer mice, in which the GPCs also gave rise to oligodendrocytes. more...",Homo sapiens,36,,GSE86906,SRP089857,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Glial Progenitor Cell,Brain,,GPC,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Schizophrenia: postmortem dorsal lateral prefrontal cortex (DLPFC),(Submitter supplied) RNA-Seq analysis of post-mortem tissue from DLPFC of 19 schizophrenia patients and 19 controls.,Homo sapiens,38,,GSE87194,SRP090259,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,DLPFC,Post-mortem brain (DLPFC) tissue,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,RNA sequencing of Amygdala in schizophrenia,RNA sequencing of Amygdala in schizophrenia,Homo sapiens,46,,,SRP102186,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,amygdala 1|amygdala 10|amygdala 11|amygdala 12|amygdala 13|amygdala 14|amygdala 15|amygdala 16|amygdala 17|amygdala 18|amygdala 19|amygdala 2|amygdala 20|amygdala 21|amygdala 22|amygdala 23|amygdala 24|amygdala 25|amygdala 26|amygdala 27|amygdala 28|amygdala 29|amygdala 3|amygdala 30|amygdala 31|amygdala 32|amygdala 33|amygdala 34|amygdala 35|amygdala 36|amygdala 37|amygdala 38|amygdala 39|amygdala 4|amygdala 40|amygdala 41|amygdala 42|amygdala 43|amygdala 44|amygdala 45|amygdala 46|amygdala 5|amygdala 6|amygdala 7|amygdala 8|amygdala 9,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Major Depressive Disorder,Whole-transcriptome brain expression and exon-usage profiling in major depression and suicide,"Brain gene expression profiling studies of suicide and depression using oligonucleotide microarrays have often failed to distinguish these two phenotypes. Moreover, next generation sequencing approaches are more accurate in quantifying gene expression and can detect alternative splicing. Using RNA-seq, we examined whole-exome gene and exon expression in non-psychiatric controls (CON, N=29), DSM-IV major depressive disorder suicides (MDD-S, N=21) and MDD non-suicides (MDD, N=9) in the dorsal lateral prefrontal cortex (Brodmann Area 9) of sudden death medication-free individuals post mortem. Using small RNA-seq, we also examined miRNA expression (nine samples per group). DeSeq2 identified 35 genes differentially expressed between groups and surviving adjustment for false discovery rate (adjusted P<0.1). In depression, altered genes include humanin-like-8 (MTRNRL8), interleukin-8 (IL8), and serpin peptidase inhibitor, clade H (SERPINH1) and chemokine ligand 4 (CCL4), while exploratory gene ontology (GO) analyses revealed lower expression of immune-related pathways such as chemokine receptor activity, chemotaxis and cytokine biosynthesis, and angiogenesis and vascular development in (adjusted P<0.1). Hypothesis-driven GO analysis suggests lower expression of genes involved in oligodendrocyte differentiation, regulation of glutamatergic neurotransmission, and oxytocin receptor expression in both suicide and depression, and provisional evidence for altered DNA-dependent ATPase expression in suicide only. DEXSEq analysis identified differential exon usage in ATPase, class II, type 9B (adjusted P<0.1) in depression. Differences in miRNA expression or structural gene variants were not detected. Results lend further support for models in which deficits in microglial, endothelial (blood-brain barrier), ATPase activity and astrocytic cell functions contribute to MDD and suicide, and identify putative pathways and mechanisms for further study in these disorder Overall design: We examined whole-exome gene and exon expression in non-psychiatric controls (CON, N=29), DSM-IV major depressive disorder suicides (MDD-S, N=21) and MDD non-suicides (MDD, N=9) in the dorsal lateral prefrontal cortex (Brodmann Area 9) of sudden death medication-free individuals post mortem. Using small RNA-seq, we also examined miRNA expression (nine samples per group).",Homo sapiens,48,,GSE101521,SRP112551,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,dorsal lateral prefrontal cortex (Brodmann Area 9),dorsal lateral prefrontal cortex (Brodmann Area 9),,,,No,No,No,No,Yes,No,No,,RNA-seq,No,
Depression,Sex-specific Transcriptional Signatures in Human Depression,"Rational: Major depressive disorder (MDD) is a leading cause of disease burden worldwide. While the incidence, symptoms and treatment of MDD all point toward major sex differences, the molecular mechanisms underlying this sexual dimorphism remain largely unknown. Methods: Here, combining differential expression and gene coexpression network analyses, we provide a comprehensive characterization of male and female transcriptional profiles associated with MDD across 6 brain regions. We overlap our human profiles with those from a mouse model of chronic variable stress and capitalize on converging pathways to define molecular and physiological mechanisms underlying the expression of stress susceptibility in males and females. Results: Our results show a major rearrangement of transcriptional patterns in MDD, with limited overlap between males and females, an effect seen in depressed humans and in stressed mice. We identify key regulators of sex-specific gene networks underlying MDD and confirm their sex-specific impact as mediators of stress susceptibility. For example, downregulation of the female-specific hub gene DUSP6 in prefrontal cortex mimics stress susceptibility in females only by increasing ERK signaling and pyramidal neuron excitability. Such DUSP6 downregulation also recapitulates the transcriptional remodeling that occurs in PFC of depressed females. Conclusions: Together, our findings reveal dramatic sexual dimorphism at the transcriptional level in MDD and highlight the importance of studying sex-specific treatments for this disorder. Overall design: RNA sequencing data from (1) 6 human postmortem brain regions in males and females with and without major depression and (2) 2 epuivalent brain regions in males and female mice with and without 21 days of chronic varibale stress (CVS). Note: The raw data for Samples GSM2740709-GSM2740726, GSM2740805, and GSM2740808 were updated in January 2018. The processed data have not changed.",Homo sapiens,341,,GSE102556,SRP115956,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,Nucleus Accumbens (Nac)|postmortem brain|prefrontal cortex (PFC),Anterior Insula (aINS)|Cingulate gyrus 25 (Cg25)|Dorsolateral prefrontal cortex (dlPFC; BA8/9)|Nucleus Accumbens (Nac)|Orbitofrontal (OFC; BA11)|Subiculum (Sub)|prefrontal cortex (PFC),,,,No,No,No,No,Yes,No,No,,RNA-seq,Yes,medication  entries: NA/yes /No- specific info not given
Schizophrenia,Transcriptome analysis reveals determinant stages controlling human embryonic stem cell commitment to neuronal cells,"(Submitter supplied) Proper neural commitment is essential for ensuring the appropriate development of the human brain and for preventing neurodevelopmental diseases such as autism spectrum disorders, schizophrenia, and intellectual disorders. However, the molecular mechanisms underlying the neural commitment in humans remain elusive. Here, we report the establishment of a neural differentiation system based on human embryonic stem cells (hESCs) and on comprehensive RNA-Seq analysis of transcriptome dynamics during early hESC differentiation. more...",Homo sapiens,12,,GSE103715,SRP117268,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,human embryonic stem cells|neuronal cells,,,ES-derived neuronal cells|human embryonic stem cells,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Transcriptional signatures of schizophrenia in hiPSC-derived NPCs and neurons are concordant with signatures from post mortem adult brains,"(Submitter supplied) Whereas highly penetrant variants have proven well-suited to human induced pluripotent stem cell (hiPSC)-based models, the power of hiPSC-based studies to resolve the much smaller effects of common variants within the size of cohorts that can be realistically assembled remains uncertain. In developing a large case/control schizophrenia (SZ) hiPSC-derived cohort of neural progenitor cells and neurons, we identified and accounted for a variety of technical and biological sources of variation. more...",Homo sapiens,94,,GSE106589,SRP124299,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,HiPSC-derived cell line,,,6 wk FB neuron|NPC,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Contribution of differential cell-specific methylation to schizophrenia [RNA-seq],"(Submitter supplied) To address the heterogeneity of gene regulation and expression in cell types of a brain region with strong evidence for relevance to schizophrenia, we carried out whole genome methylation and expression analyses using post-mortem brain tissue from BA46 that underwent fluorescence-activated nuclei sorting (FANS). Importantly, we used whole genome bisulfite sequencing (WGBS) for methylation quantification to have an unbiased assessment of epigenetic modifications associated with schizophrenia, and additionally carried out whole genome sequencing (WGS) of the brain samples to account for genetic background differences. more...",Homo sapiens,96,,GSE107638,SRP126056,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Frozen Brain Tissue|frozen brain tissue_Control_NeuN|frozen brain tissue_Control_Olig2|frozen brain tissue_Schizo_NeuN|frozen brain tissue_Schizo_Olig2,,,Cyto|NeuN|OLIG2,,Yes,No,No,No,No,No,No,,RNA-seq,No,
