Search Keyword,Title,Abstract/Summary/Description,Organism,Sample Size,Cohort,GEO ID,ENA/SRA ID,Library Strategy,Library Source,Database,,Tissue ,source_name,tissue,cell_line,cell_type,,Schizophrenia,Bipolar disorder,Anxiety,Depression,Major Depressive Disorder,Bipolar Depression,Bipolar Mania,Comments,RNA-seq,Treatment,Notes (Treatment)
Schizophrenia,Convergent genomic and pharmacological evidence of PI3K/GSK3 signaling alterations in neurons from schizophrenia patients,"(Submitter supplied) From Stertz et al 2021 ""Human-induced pluripotent stem cells (hiPSCs) allow for the establishment of brain cellular models of psychiatric disorders that account for a patient’s genetic background. Here, we conducted an RNA-sequencing profiling study of hiPSC-derived cell lines from schizophrenia (SCZ) subjects, most of which are from a multiplex family, from the population isolate of the Central Valley of Costa Rica. more...",Homo sapiens,32,,GSE182875,SRP334277,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,"Cortical Neuron derived from hiPSC of subject 352|Cortical Neuron derived from hiPSC of subject 353|Cortical Neuron derived from hiPSC of subject 357|Cortical Neuron derived from hiPSC of subject 412|Cortical Neuron derived from hiPSC of subject 413|Cortical Neuron derived from hiPSC of subject 416|Cortical Neuron derived from hiPSC of subject 417|Cortical Neuron derived from hiPSC of subject 418|Cortical Neuron derived from hiPSC of subject 419|Cortical Neuron derived from hiPSC of subject 486|Cortical Neuron derived from hiPSC of subject 624|Limphoblastoid Cell Line of Pooled Healthy Controls: 353, 419, 357|Limphoblastoid Cell Line of Pooled Healthy Controls: 417, 354, 412|Limphoblastoid Cell Line of Pooled Schizophrenia Patients: 416, 486, 624, 352, 413|Limphoblastoid Cell Line of Pooled Schizophrenia Patients: 418, 414|Neural Progenitor Cell from subject 352|Neural Progenitor Cell from subject 353|Neural Progenitor Cell from subject 354|Neural Progenitor Cell from subject 357|Neural Progenitor Cell from subject 412|Neural Progenitor Cell from subject 413|Neural Progenitor Cell from subject 414|Neural Progenitor Cell from subject 416|Neural Progenitor Cell from subject 417|Neural Progenitor Cell from subject 418|Neural Progenitor Cell from subject 419|Neural Progenitor Cell from subject 486|Neural Progenitor Cell from subject 624|hiPSC Cell Line of Pooled Healthy Controls: 353, 419, 357|hiPSC Cell Line of Pooled Healthy Controls: 417, 354, 412|hiPSC Lines of Pooled Schizophrenia Patients: 416, 486, 624, 352, 413|hiPSC Lines of Pooled Schizophrenia Patients: 418, 414",,,Cortical Neuron|Limphoblastoid Cells|Neural Progenitor Cell|hiPSC,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Lithium treatment and human hippocampal neurogenesis,"(Submitter supplied) Lithium is a first-line treatment for bipolar disorder, where it acts as a mood-stabilizing agent. Although its precise mechanism remains unclear, neuroimaging studies have shown that lithium accumulates in the hippocampus and that chronic use amongst bipolar disorder patients is associated with larger hippocampal volumes. Here, we tested the chronic effects of low (0.75 mM) and high (2.25 mM) doses of lithium on human hippocampal progenitor cells and used immunocytochemistry to investigate the effects of lithium on cell parameters implicated in neurogenesis. more...",Homo sapiens,11,,GSE184930,SRP339136,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,,,,,,No,Yes,No,No,No,No,No,,RNA-seq,Yes,"Lithium (high- 2.25 mM [n=4], low- 0.75 mM [n=3]), control [n=4]"
Schizophrenia,Chromatin accessibility mapping at schizophrenia GWAS risk loci reveals compound genetic effects impairing neurodevelopment and synaptic function in human neurons,"Here, in NEUROG2-induced human neurons, we identified 31 credible risk SNPs in 26 schizophrenia (SZ) risk loci that displayed allele-specific open chromatin (ASoC) and were likely to be functional. For the VPS45 locus showing the strongest ASoC, CRISPR/Cas9 editing of ASoC SNP (rs2027349) altered the local expression of VPS45 and AC244033.2 (a lncRNA), and a distal gene, C1orf54. Notably, the global expression changes in neurons correlated with post-mortem brain expression signatures of neuropsychiatric disorders. Neurons carrying risk allele exhibited increased dendritic complexity, synaptic puncta density and hyperactivity, which were partially reversed by knocking-down each cis-regulated gene (VPS45, AC244033.2, or C1orf54), suggesting phenotypic contribution from all three genes.",Homo sapiens,21,,,SRP344891,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,,"iPS-differentiated, in vitro cultured NGN2-induced Glutamatergic neuron",,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Shared patterns of glial transcriptional dysregulation link Huntington's disease and schizophrenia,"(Submitter supplied) Huntington’s disease (HD) and juvenile-onset schizophrenia (SCZ) have long been regarded as distinct disorders. However, both manifest cell-intrinsic abnormalities in glial differentiation, with resultant astrocytic dysfunction and hypomyelination. To assess whether a common mechanism might underlie the similar glial pathology of these otherwise disparate conditions, we utilized comparative correlation network approaches to analyze RNA-seq data from human glial progenitor cells (hGPCs) produced from disease-derived pluripotent stem cells. more...",Homo sapiens,137,,GSE188558,SRP345441,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Astrocyte induced from ESC|Astrocyte induced from iPSC|GPC induced from ESC|GPC induced from iPSC,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Attenuated transcriptional response to pro-inflammatory cytokines in schizophrenia hiPSC-derived neural progenitor cells,Attenuated transcriptional response to pro-inflammatory cytokines in schizophrenia hiPSC-derived neural progenitor cells,Homo sapiens,18,,,SRP350706,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,Induced cortical neural progenitor cells,,,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,"interferon-gamma, interleukin-1 beta, or vehicle"
Schizophrenia,Gene expression analysis of transplanted hiPSC-astrocyte progenitors generated from monozygotic twin pair discordant for schizophrenia into mouse brain,Gene expression analysis of transplanted hiPSC-astrocyte progenitors generated from monozygotic twin pair discordant for schizophrenia into mouse brain,Homo sapiens,21,,GSE191249,SRP351616,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,"Mouse cortex, no transplantation|human iPSC-astrocyte progenitor transplanted RAG1 mouse cortical sample",cortex,,human iPSC-astrocyte progenitor transplanted RAG1 mouse cortical sample,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Gene expression analysis of astrocytes differentiated from iPS cells generated from monozygotic twins discordant for schizophrenia,"(Submitter supplied) Previous studies have implicated several brain cell types in schizophrenia, but the genetic impact of astrocytes is unknown. Considering their high complexity in humans, astrocytes are likely key determinants of neurodevelopmental diseases. Human induced pluripotent stem cell (hiPSC) -derived astrocytes differentiated from five monozygotic twin pairs discordant for schizophrenia and five healthy subjects were studied for alterations related to high genetic risk and clinical manifestation of SCZ in astrocyte transcriptomics.",Homo sapiens,16,,GSE191248,SRP351617,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,hiPSC-derived brain astrocytes,,,hiPSC-derived brain astrocytes,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Major Depressive Disorder,Cell-Specific Transcriptomic Analysis of CRH+ cells Identifies Unique Cellular Responses to Chronic Stress,"(Submitter supplied) Rationale: A previous transcriptome meta-analysis revealed significantly lower levels of corticotropin-releasing hormone (CRH) mRNA in corticolimbic brain regions in major depressive disorder (MDD) subjects. Rodent studies show that cortical CRH is mostly expressed in GABAergic neurons; however, the characteristic features of CRH+ cells in human brain cortex and their association with MDD are largely unknown. more...",Homo sapiens,12,,GSE193417,SRP354339,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,sgACC_MDD|sgACC_control,Subgenual anterior cingulate cortex (sgACC),,,,No,No,No,No,Yes,No,No,,RNA-seq,No,
Depression,Gene expressional changes in the dorsomedial prefrontal cortex of suicide victims,Gene expressional changes in the dorsomedial prefrontal cortex of suicide victims,Homo sapiens,16,,,SRP371074,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,Brain,,,,No,No,No,Yes,No,No,No,,RNA-seq,No,
Schizophrenia,Diurnal alterations in gene expression across striatal subregions in psychosis,"(Submitter supplied) Background: Psychosis is a defining feature of schizophrenia and highly prevalent in bipolar disorder. Notably, individuals suffering with these illnesses also have major disruptions in sleep and circadian rhythms, and disturbances to sleep and circadian rhythms can precipitate or exacerbate psychotic symptoms. Psychosis is associated with the striatum, though no study to date has directly measured molecular rhythms and determined how they are altered in the striatum of subjects with psychosis. more...",Homo sapiens,192,,GSE202537,SRP374415,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Caudate|Nac|Putamen,Caudate|Nac|Putamen,,,,Yes,No,No,No,No,No,No,total n=215; 192- schizophrenia plus control,RNA-seq,,
Bipolar Disorder,Diurnal alterations in gene expression across striatal subregions in psychosis,"(Submitter supplied) Background: Psychosis is a defining feature of schizophrenia and highly prevalent in bipolar disorder. Notably, individuals suffering with these illnesses also have major disruptions in sleep and circadian rhythms, and disturbances to sleep and circadian rhythms can precipitate or exacerbate psychotic symptoms. Psychosis is associated with the striatum, though no study to date has directly measured molecular rhythms and determined how they are altered in the striatum of subjects with psychosis. more...",Homo sapiens,131,,GSE202537,SRP374415,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Caudate|Nac|Putamen,Caudate|Nac|Putamen,,,,No,Yes,No,No,No,No,No,total n=215; 1310 Bipolar disorder,RNA-seq,,
Schizophrenia,Activity-Dependent Transcriptional Program in NGN2+ Neurons Enriched for Genetic Risk for Brain-Related Disorders,Activity-Dependent Transcriptional Program in NGN2+ Neurons Enriched for Genetic Risk for Brain-Related Disorders,Homo sapiens,35,,GSE203082,SRP375367,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,hiPSC-derived neurons,hiPSC-derived neurons,,,,Yes,No,No,No,No,No,No,,RNA-seq,Yes,"potassium chloride, Phosphate-Buffered Saline"
Bipolar Disorder,Network-based integrative analysis of lithium response in bipolar disorder using transcriptomic and GWAS data,(Submitter supplied) Lithium is the gold standard treatment for bipolar disorder. The goal of this study was to identify gene expression networks associated with lithium response. RNAseq data was obtained from IPSC derived neurons from lithium responders and non-responders. Focal adhesion was the network most associated with response.,Homo sapiens,34,,GSE205422,SRP378256,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Fibroblast|Lymphoblast,Fibroblast|Lymphoblast,11692|11822|14474|14934|14959|14961|9691|JNJ001|JNJ002|JNJ004|JNJ005|JNJ007|JNJ008|JNJ009|JNJ010|JNJ011|JNJ012,IPSC derived Hippocampal neuron,,No,Yes,No,No,No,No,No,,RNA-seq,Yes,Lithium
Schizophrenia,Modeling 16p13.11 deletions in patient stem cell derived neurons,Modeling 16p13.11 deletions in patient stem cell derived neurons,Homo sapiens,15,,GSE208574,SRP387087,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,iPSC,,iPSC,Neuron,,Yes,No,No,No,No,No,No,not directly related to schizophrenia- but indirect relevance,RNA-seq,No,
Schizophrenia,Regulation of synaptic connectivity in schizophrenia by mutual neuron-microglia interaction,"(Submitter supplied) The examination of post-mortem brain tissue suggests synaptic loss as a central pathological hallmark of schizophrenia spectrum (SCZ), which is potentially related to activated microglia and increased inflammation. Induced pluripotent stem cells serve as a source for neurons and microglia-like cells to address neuron-microglia interactions. Here, we present a co-culture model of neurons and microglia, both of human origin, to show increased susceptibility of neurons to microglia-like cells derived from SCZ patients. more...",Homo sapiens,18,,GSE213232,SRP396885,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,NMIi001-A|NMIi002-B|NMIi004-A|NMIi005-A|NMIi006-A|NMIi010-A,NMIi001-A|NMIi002-B|NMIi004-A|NMIi005-A|NMIi006-A|NMIi010-A,differentiated microglia from induced pluripotent stem cells|naive induced pluripotent stem cells,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Major Depressive Disorder,Astrocytic ZBTB7A promotes orbitofrontal cortex dysfunction associated with Major Depressive Disorder [MDD],"(Submitter supplied) Overall risk for Major Depressive Disorder (MDD) is determined by complex interactions between genetic and environmental factors that influence epigenetic regulation of neuroplasticity and stress pathways1,2. These mechanisms are specific to the distinct regulatory context within regionally-defined brain cell-types3,4. Here, we employed genome-wide chromatin accessibility profiling of neuronal vs. non-neuronal cells in orbitofrontal cortex (OFC) to capture regulatory signatures of MDD. more...",Homo sapiens,39,,GSE214921,SRP401314,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Bulk OFC tissue,Bulk OFC tissue,,,,No,No,No,No,Yes,No,No,,RNA-seq,No,
Schizophrenia,Excitatory dysfunction drives network and calcium handling deficits in 16p11.2 duplication schizophrenia iPSC-derived neurons,"(Submitter supplied) Background ­- Schizophrenia (SCZ) is a debilitating psychiatric disorder with a large genetic contribution; however, its neurodevelopmental substrates remain largely unknown. Modeling pathogenic processes in SCZ using human iPSC-derived neurons (iNs) has emerged as a promising strategy. Copy number variations (CNV) confer high genetic risk for SCZ, with duplication of the 16p11.2 locus increasing risk 14.5 fold. more...",Homo sapiens,23,,GSE215183,SRP401847,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,Healthy Individual 1|Healthy Individual 2|Healthy Individual 3|Isogenic 16p11.2 duplication Clone 1|Isogenic 16p11.2 duplication Clone 2|Isogenic Control Clone 1|Isogenic Control Clone 2|SCZ with 16p11.2 Duplication Patient 1|SCZ with 16p11.2 Duplication Patient 2|SCZ with 16p11.2 Duplication Patient 3,,02C12626 (phs000021.v2.p1)|04C27671 (phs000021.v2.p1)|05C44627 (phs000021.v2.p1)|05C51897 (phs000021.v2.p1)|06C52982 (phs000021.v2.p1)|06C58821 (phs000021.v2.p1)|GM08330 Clone 1 (PMID: 26829649)|GM08330 Clone 2 (PMID: 26829649)|GM08330-16p11.2 duplication Clone 1 (PMID: 26829649)|GM08330-16p11.2 duplication Clone 2 (PMID: 26829649),iPSC,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Transcriptomic profiling and electrophysiological analysis from microtransplanted synaptic membranes,"(Submitter supplied) Alterations of synaptic function in individuals with schizophrenia have been found in transcriptomics, proteomics, and genome wide association studies. Impaired synaptic glutamatergic (excitatory) and GABAergic (inhibitory) neurotransmission in affected brain regions (e.g. dorsolateral prefrontal cortex; DLPFC) is thought to be involved in the core symptoms of schizophrenia. However, there are no quantitative measurements of synaptic function in the human DLPFC, therefore concrete and specific functional alterations of voltage gated ion channels of glutamate and GABA receptors are lacking. more...",Homo sapiens,30,,GSE224683,SRP421233,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,DLPFC,DLPFC,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Transcriptomic profiling and electrophysiological analysis from microtransplanted synaptic membranes,"Alterations of synaptic function in individuals with schizophrenia have been found in transcriptomics, proteomics, and genome wide association studies. Impaired synaptic glutamatergic (excitatory) and GABAergic (inhibitory) neurotransmission in affected brain regions (e.g. dorsolateral prefrontal cortex; DLPFC) is thought to be involved in the core symptoms of schizophrenia. However, there are no quantitative measurements of synaptic function in the human DLPFC, therefore concrete and specific functional alterations of voltage gated ion channels of glutamate and GABA receptors are lacking. We have begun to address this problem by directly measuring AMPA- and GABA receptor-mediated synaptic currents in postmortem brains from subjects with schizophrenia and contrasting to controls. We demonstrate in our preliminary work that the function of synaptic receptors is maintained in postmortem brains and is significantly decreased in schizophrenia compared to controls. Our overarching hypothesis is that reductions in both inhibitory and excitatory currents underlie synaptic deficits in schizophrenia. We will test rigor and reproducibility of this hypothesis in independent case-control cohorts. These deficits in synaptic currents can be statistically modeled with transcriptomic data which will be useful in downstream studies that pharmacologically challenge activation of these currents. Overall design: (1)Test the hypothesis that alterations of the excitatory to inhibitory balance are present in schizophrenia (SZ) brains using microtransplantation of synaptic membranes (MSM) in the DLPFC of schizophrenia cases (n = 15) and controls (n = 15). We measured ion currents of microtransplanted neurotransmitter receptors into frog oocytes using two electrode voltage clamp. (2) Test the hypothesis that integrative analysis of transcriptomic data predicts synaptic dysfunction in SZ at the electrophysiological level. The physiological and pharmacological profile of synaptic AMPA and GABA receptors are mostly determined by their subunit composition, posttranslational modifications, and associated proteins. We collected RNA-seq to characterize genes in the synapse that predict electrophysiological responses.",Homo sapiens,15,,GSE224683,SRP421233,RNA-Seq,TRANSCRIPTOMIC,SRA,,Yes,DLPFC,DLPFC,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Genome-wide gene expression profiling post PCCB knockdown in human forebrain organoids,"(Submitter supplied) We established PCCB knockdown human induced pluripotent stem cell (hiPSC) line using CRISPR interference (CRISPRi). The established PCCB knockdown and control hiPSCs were then used to generate human forebrain organoids (hFOs). On day 60 of organoid culture, PCCB knockdown and control hFOs were randomly selected for RNA-sequencing (RNA-seq). We found that differentially expressed genes (DEGs) affected by PCCB knockdown were enriched with GABAergic synapse, synaptic vesicle cycle, neurotransmitter transport, forebrain development, axon development, synaptic organization, and calcium signaling pathways. more...",Homo sapiens,18,,GSE226233,SRP424801,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,U2F organoid,human forebrain organoids (hFOs),PCCB-G1|PCCB-G1-NC|PCCB-G2|PCCB-G2-3|PCCB-G2-NC,hiPSCs,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,REST and Impaired Neural Stress Resistance in Bipolar Disorder,"(Submitter supplied) Neurodevelopmental changes and impaired stress resistance have been implicated in the pathogenesis of bipolar disorder (BD), but the underlying regulatory mechanisms are unresolved. Here we describe a cerebral organoid model of BD that exhibits altered early neural development, elevated neural network activity, and a major shift in the transcriptome. These phenotypic changes were reproduced in cerebral organoids generated from iPS cell lines derived in multiple different laboratories. more...",Homo sapiens,16,,GSE234795,SRP443249,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,forebrain organoid,forebrain organoid,iPSC,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Major Depressive Disorder,Brain and Blood Transcriptome Profiles Delineate Common Genetic Pathways across Suicidal Ideation and Suicide II,"(Submitter supplied) Human genetic studies indicate that suicidal ideation and behavior are both heritable. Most studies have examined associations between aberrant gene expression and suicide behavior, but behavior risk is linked to severity of suicidal ideation. Through a gene network approach, this study investigates how gene co-expression patterns are associated with suicidal ideation and severity using RNA-seq data in peripheral blood from 46 live participants with elevated suicidal ideation and 46 with no ideation. more...",Homo sapiens,24,,GSE248260,SRP473136,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,ventral white matter (BA 47),ventral white matter (BA 47),,,,No,No,No,No,Yes,No,No,,RNA-seq,No,
Schizophrenia,Postmortem Analysis of the Caudate Nucleus in Schizophrenia,Postmortem Analysis of the Caudate Nucleus in Schizophrenia,Homo sapiens,154,,,SRP482996,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,,,,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Postmortem Analysis of the Caudate Nucleus in Schizophrenia,Postmortem Analysis of the Caudate Nucleus in Schizophrenia,Homo sapiens,44,,,SRP482996,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,,,,,,No,Yes,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Schizophrenia risk gene ZNF804A controls ribosome localization and synaptogenesis in developing human neurons,"(Submitter supplied) ZNF804A was amongst the first genes robustly associated with schizophrenia based on findings from large-scale genomic studies. Previous research has implicated ZNF804A inthe regulation of gene expression and synaptic function, but the role this gene plays inneurodevelopment and in relation to schizophrenia pathogenesis remains unclear. To study the function of this gene during neurodevelopment, we generated isogenichuman induced pluripotent stem cells (hiPSCs) with reduced ZNF804A expression, differentiated them into developing cortical glutamatergic neurons and studied theirtranscriptomic, synaptic and protein signatures. more...",Homo sapiens,18,,GSE254523,SRP486687,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,NGN2-OPTi-OX,,NGN2-OPTi-OX,hiPSCs,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Schizophrenia risk gene ZNF804A controls ribosome localization and synaptogenesis in developing human neurons,Schizophrenia risk gene ZNF804A controls ribosome localization and synaptogenesis in developing human neurons,Homo sapiens,18,,GSE254523,SRP486687,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,NGN2-OPTi-OX,,NGN2-OPTi-OX,hiPSCs,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,Scaled and efficient derivation of loss-of-function alleles in risk genes for neurodevelopmental and psychiatric disorders in human iPSCs,"(Submitter supplied) Translating genetic findings for neurodevelopmental and psychiatric disorders (NPD) into actionable disease biology would benefit from large-scale and unbiased functional studies of NPD genes. Leveraging the cytosine base editing (CBE) system, here we developed a pipeline for clonal loss-of-function (LoF) allele mutagenesis in human induced pluripotent stem cells (hiPSCs) by introducing premature stop-codons (iSTOP) that lead to mRNA nonsense-mediated-decay (NMD) or protein truncation. more...",Homo sapiens,69,,GSE262442,SRP497832,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iPS Cells,iPS Cells,CD14|CW20107|KOLF2.2J,iPSC,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Schizophrenia,DPYSL2/CRMP2 isoform B knockout in human iPSC-derived glutamatergic neurons confirms its role in mTOR signaling and neurodevelopmental disorders,"(Submitter supplied) The DPYSL2/CRMP2 gene encodes a microtubule-stabilizing protein crucial for neurogenesis and is associated with numerous psychiatric and neurodegenerative disorders including schizophrenia, bipolar disorder, and Alzheimer's disease. DPYSL2 generates multiple RNA and protein isoforms, but few studies have differentiated between them. We previously reported an association of a functional variant in the DPYSL2-B isoform with schizophrenia (SCZ) and demonstrated in HEK293 cells that this variant reduced the length of cellular projections and created transcriptomic changes that captured schizophrenia etiology by disrupting mTOR signaling-mediated regulation. more...",Homo sapiens,12,,GSE268103,SRP509182,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,hiPSC derived excitatory neurons,,,hiPSC derived excitatory neurons,,Yes,No,No,No,No,No,No,,RNA-seq,No,
Bipolar Disorder,Human-Induced Pluripotent Stem Cell (iPSC)-Derived GABAergic Neuron Differentiation in Bipolar Disorder,"(Submitter supplied) Bipolar disorder (BP) is a recurring psychiatric condition characterized by alternating episodes of low energy (depressions) followed by manias (high energy). Cortical network activity produced by GABAergic interneurons may be critical in maintaining the balance in excitatory/inhibitory activity in the brain during development. Initially, GABAergic signaling is excitatory; with maturation, these cells undergo a functional switch that converts GABAA channels from depolarizing (excitatory) to hyperpolarizing (inhibitory), which is controlled by the intracellular concentration of two chloride transporters. more...",Homo sapiens,21,,GSE272060,SRP519368,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iPSC,iPSC,,GABAergic interneurons,,No,Yes,No,No,No,No,No,"4 controls(C), 4 bipolar(BP), and 3 BP-Corrected samples",RNA-seq,No,
Major Depressive Disorder,m6A-seq in the human vanetromedial prefrontal cortex in major depressive disorder,m6A-seq in the human vanetromedial prefrontal cortex in major depressive disorder,Homo sapiens,78,,GSE275676,SRP528676,RNA-Seq,TRANSCRIPTOMIC,ENA,,Yes,Brain,Brain,,,,No,No,No,No,Yes,No,No,,RNA-seq,No,
Schizophrenia,Aberrant Neuronal Connectivity and Network Activity of Neurons Derived from Patients with Idiopathic Schizophrenia,"(Submitter supplied) Schizophrenia (SCZ) is a psychiatric disorder with a strong genetic determinant. A major hypothesis to explain disease aetiology comprises synaptic dysfunction associated with excitatory-inhibitory imbalance of synaptic transmission, ultimately contributing to impaired network oscillation and cognitive deficits associated with the disease. Here, we studied the morphological and functional properties of a highly defined co-culture of GABAergic and glutamatergic neurons derived from induced pluripotent stem cells (iPSC) from patients with idiopathic SCZ. more...",Homo sapiens,14,,GSE282524,SRP546799,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,iNeurons,iNeurons,,AD2 Neurons|hNGN2 Neurons,,Yes,No,No,No,No,No,No,Idiopathic Schizophrenia,RNA-seq,No,
Major Depressive Disorder,Disturbed rhythm of pancreatic insulin secretion induces circadian-based bipolar swings of behaviors,"(Submitter supplied) Patients with neuropsychiatric disorders often show metabolic symptoms. However, the mechanisms underlying this co-occurrence remain unclear. Here, we show that iPSC-derived pancreatic islets from bipolar disorder (BD) patients had insulin secretion deficits caused by the up-regulated expression of RORβ, a susceptibility gene for BD. Using conditional CRISPRa technology, we activated the expression of RORβ in mouse pancreatic β-cells and observed that the RORβ-activated animals exhibited diurnal fluctuation of behaviors. more...",Homo sapiens,4,,GSE283118,SRP548420,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,human iPSC,,human iPSC,ipsc-derived neurons|islet-like organoids,,No,No,No,No,Yes,No,No,"BD (n=4), MDD (n=4), Healthy (n=5)",RNA-seq,No,
Bipolar Disorder,Disturbed rhythm of pancreatic insulin secretion induces circadian-based bipolar swings of behaviors,"(Submitter supplied) Patients with neuropsychiatric disorders often show metabolic symptoms. However, the mechanisms underlying this co-occurrence remain unclear. Here, we show that iPSC-derived pancreatic islets from bipolar disorder (BD) patients had insulin secretion deficits caused by the up-regulated expression of RORβ, a susceptibility gene for BD. Using conditional CRISPRa technology, we activated the expression of RORβ in mouse pancreatic β-cells and observed that the RORβ-activated animals exhibited diurnal fluctuation of behaviors. more...",Homo sapiens,4,,GSE283118,SRP548420,RNA-Seq,TRANSCRIPTOMIC,GEO,,Yes,human iPSC,,human iPSC,ipsc-derived neurons|islet-like organoids,,No,Yes,No,No,No,No,No,,RNA-seq,No,